
# Curve 0 of 1, 100 points
# Curve title: "400*erfc(0.007/(2*sqrt(1.979*10**(-6)*x)))+300*erf(0.007/(2*sqrt(1.979*10**(-6)*x)))"
# x y type
 6.94606e-310  4.64863e-310  u
 0.909091  300.022  i
 1.81818  300.907  i
 2.72727  303.312  i
 3.63636  306.502  i
 4.54545  309.887  i
 5.45455  313.193  i
 6.36364  316.308  i
 7.27273  319.199  i
 8.18182  321.867  i
 9.09091  324.323  i
 10  326.586  i
 10.9091  328.675  i
 11.8182  330.607  i
 12.7273  332.4  i
 13.6364  334.068  i
 14.5455  335.623  i
 15.4545  337.078  i
 16.3636  338.441  i
 17.2727  339.722  i
 18.1818  340.928  i
 19.0909  342.066  i
 20  343.142  i
 20.9091  344.161  i
 21.8182  345.129  i
 22.7273  346.048  i
 23.6364  346.924  i
 24.5455  347.759  i
 25.4545  348.556  i
 26.3636  349.318  i
 27.2727  350.047  i
 28.1818  350.747  i
 29.0909  351.417  i
 30  352.062  i
 30.9091  352.682  i
 31.8182  353.278  i
 32.7273  353.853  i
 33.6364  354.407  i
 34.5455  354.941  i
 35.4545  355.458  i
 36.3636  355.957  i
 37.2727  356.44  i
 38.1818  356.907  i
 39.0909  357.36  i
 40  357.799  i
 40.9091  358.224  i
 41.8182  358.637  i
 42.7273  359.038  i
 43.6364  359.428  i
 44.5455  359.807  i
 45.4545  360.175  i
 46.3636  360.534  i
 47.2727  360.883  i
 48.1818  361.223  i
 49.0909  361.554  i
 50  361.877  i
 50.9091  362.192  i
 51.8182  362.499  i
 52.7273  362.799  i
 53.6364  363.092  i
 54.5455  363.378  i
 55.4545  363.658  i
 56.3636  363.931  i
 57.2727  364.198  i
 58.1818  364.46  i
 59.0909  364.715  i
 60  364.966  i
 60.9091  365.211  i
 61.8182  365.451  i
 62.7273  365.686  i
 63.6364  365.916  i
 64.5455  366.142  i
 65.4545  366.363  i
 66.3636  366.581  i
 67.2727  366.794  i
 68.1818  367.002  i
 69.0909  367.208  i
 70  367.409  i
 70.9091  367.606  i
 71.8182  367.801  i
 72.7273  367.991  i
 73.6364  368.179  i
 74.5455  368.363  i
 75.4545  368.543  i
 76.3636  368.721  i
 77.2727  368.896  i
 78.1818  369.068  i
 79.0909  369.237  i
 80  369.404  i
 80.9091  369.567  i
 81.8182  369.729  i
 82.7273  369.887  i
 83.6364  370.043  i
 84.5455  370.197  i
 85.4545  370.348  i
 86.3636  370.498  i
 87.2727  370.644  i
 88.1818  370.789  i
 89.0909  370.932  i
 90  371.072  i

